Data,Predicted (Model)
0,0.291751597
0,0.0001
0,0.0001
0,0.013072464
1,0.517111032
0,0.0001
1,0.365286909
1,0.46479032
1,0.230558948
1,0.417642527
1,0.449738427
1,0.264059427
1,0.695118223
0,0.090090211
0,0.154512044
0,0.039469784
0,0.0001
0,0.0001
1,0.735186954
1,0.256441841
1,0.106400168
0,0.165173342
1,0.53432136
1,0.642590241
1,0.493018827
1,0.70583896
0,0.0001
0,0.202781829
1,0.971718293
0,0.0001
0,0.0001
1,0.418778437
0,0.0001
0,0.169709239
0,0.0001
1,0.769994131
1,0.5753103
0,0.232768014
1,0.133646896
1,0.553130877
1,0.279022074
1,0.751445026
1,0.421113498
0,0.0001
1,0.487873541
0,0.03316964
1,0.451994726
0,0.158025789
1,0.454016039
0,0.0001
0,0.0001
1,0.472813314
1,0.527048191
1,0.947359869
0,0.0001
1,0.729952878
0,0.0001
1,0.712574396
0,0.0001
0,0.250259731
0,0.0001
0,0.174528678
0,0.0001
1,0.318162899
1,0.197255877
1,0.439948842
0,0.0001
1,0.151991212
1,0.422560972
1,0.403602741
1,0.851536446
0,0.0001
1,0.312774584
1,0.500420116
0,0.24236253
1,0.766122181
1,0.683882082
0,0.0001
1,0.33215044
0,0.135521792
1,0.729956278
0,0.375581592
1,0.224688697
1,0.12008483
1,0.612192195
1,0.726500396
1,0.554846858
1,0.138862007
1,0.498733144
1,0.133926581
0,0.019771907
0,0.0001
0,0.0001
1,0.418526176
0,0.0001
1,0.693800082
1,0.094795326
1,0.925085811
0,0.15195066
1,0.788710019
0,0.0001
0,0.0001
0,0.297479909
1,0.290528007
1,0.601438588
0,0.0001
1,0.353469645
1,0.408118578
1,0.538191918
1,0.253631898
0,0.0001
1,0.526085645
0,0.0001
1,0.460109653
1,0.775072288
0,0.0001
1,0.489153238
0,0.0001
0,0.0001
0,0.034608624
1,0.411143627
1,0.403309021
1,0.690479379
1,0.58645295
1,0.703471435
0,0.240645419
0,0.317348965
0,0.0001
0,0.0001
1,0.479985015
0,0.051663453
0,0.151098679
1,0.400885126
1,0.669478979
0,0.0001
0,0.084509219
0,0.104969007
0,0.202747595
0,0.0001
1,0.248550676
1,0.736360718
1,0.507362049
1,0.45185447
0,0.170658129
0,0.0001
1,0.492524913
1,0.863828983
1,0.505563511
1,0.855626349
1,0.214503677
1,0.667043014
0,0.04338791
0,0.268321785
0,0.163068649
0,0.032860214
1,0.432603468
0,0.050831568
1,0.282183637
1,0.497255402
1,0.507714476
0,0.048046271
0,0.302599739
1,0.552843342
0,0.0001
0,0.0001
0,0.045763161
0,0.0001
1,0.35923354
1,0.275079272
1,0.490030294
0,0.093214431
1,0.33982672
1,0.228286029
0,0.173078966
0,0.24842934
0,0.0001
1,0.215257771
0,0.10263881
1,0.609961692
1,0.153339016
0,0.040604182
0,0.0001
1,0.420378131
0,0.035050649
0,0.0001
1,0.956775757
0,0.312246201
0,0.0001
1,0.619621516
0,0.062474506
1,0.83682199
0,0.0001
0,0.0001
0,0.087984095
1,0.513109824
1,0.168519626
0,0.0001
0,0.0125382
1,0.623915238
0,0.299362197
1,0.700795017
1,0.639515816
0,0.0001
1,0.423247208
1,0.314171344
0,0.0001
1,0.675042884
1,0.858816065
0,0.0001
0,0.262590264
0,0.107755031
1,0.642963514
1,0.684925359
1,0.439486907
1,0.474113532
1,0.248236629
1,0.573986919
0,0.015263223
1,0.65455098
1,0.699771428
